Image #, Neuron #, Time Event,Censored,Constructs,Experiment
B3,,156,0,25iCTR,LINCS06282017
B3,,156,0,25iCTR,LINCS06282017
B3,,156,0,25iCTR,LINCS06282017
B4,,156,0,28iALS,LINCS06282017
B4,,36,1,28iALS,LINCS06282017
B4,,60,1,28iALS,LINCS06282017
B4,,156,0,28iALS,LINCS06282017
B4,,156,0,28iALS,LINCS06282017
B4,,60,1,28iALS,LINCS06282017
B4,,24,1,28iALS,LINCS06282017
B4,,48,1,28iALS,LINCS06282017
B4,,156,0,28iALS,LINCS06282017
B4,,156,0,28iALS,LINCS06282017
B4,,156,0,28iALS,LINCS06282017
B4,,60,1,28iALS,LINCS06282017
B4,,156,0,28iALS,LINCS06282017
B4,,156,0,28iALS,LINCS06282017
B4,,12,1,28iALS,LINCS06282017
B4,,108,1,28iALS,LINCS06282017
B4,,156,0,30iALS,LINCS06282017
B4,,60,1,30iALS,LINCS06282017
B4,,156,0,30iALS,LINCS06282017
B4,,156,0,30iALS,LINCS06282017
B4,,156,0,30iALS,LINCS06282017
B4,,60,1,30iALS,LINCS06282017
B5,,156,0,30iALS,LINCS06282017
B5,,156,0,30iALS,LINCS06282017
B5,,156,0,30iALS,LINCS06282017
B5,,156,0,30iALS,LINCS06282017
B5,,156,0,30iALS,LINCS06282017
B5,,156,0,30iALS,LINCS06282017
B5,,156,0,30iALS,LINCS06282017
B5,,156,0,30iALS,LINCS06282017
B5,,156,0,30iALS,LINCS06282017
B5,,156,0,30iALS,LINCS06282017
B5,,12,1,30iALS,LINCS06282017
B5,,156,0,30iALS,LINCS06282017
B5,,60,1,30iALS,LINCS06282017
B5,,156,0,30iALS,LINCS06282017
B5,,156,0,30iALS,LINCS06282017
B5,,156,0,30iALS,LINCS06282017
B6,,60,1,30iALS,LINCS06282017
B6,,120,1,30iALS,LINCS06282017
B6,,156,0,30iALS,LINCS06282017
B6,,156,0,30iALS,LINCS06282017
B6,,108,1,30iALS,LINCS06282017
B6,,156,0,30iALS,LINCS06282017
B6,,156,0,30iALS,LINCS06282017
B6,,156,0,30iALS,LINCS06282017
B6,,156,0,30iALS,LINCS06282017
B6,,156,0,30iALS,LINCS06282017
B6,,156,0,30iALS,LINCS06282017
B6,,156,0,30iALS,LINCS06282017
B6,,156,0,30iALS,LINCS06282017
B6,,156,0,30iALS,LINCS06282017
B6,,156,0,30iALS,LINCS06282017
B6,,156,0,30iALS,LINCS06282017
B6,,156,0,30iALS,LINCS06282017
B6,,36,1,30iALS,LINCS06282017
B6,,156,0,30iALS,LINCS06282017
B6,,156,0,52iALS,LINCS06282017
B6,,12,1,52iALS,LINCS06282017
B6,,156,0,52iALS,LINCS06282017
B6,,36,1,52iALS,LINCS06282017
B6,,156,0,52iALS,LINCS06282017
B6,,156,0,52iALS,LINCS06282017
B6,,156,0,52iALS,LINCS06282017
B6,,96,1,52iALS,LINCS06282017
B6,,156,0,52iALS,LINCS06282017
B6,,120,1,52iALS,LINCS06282017
B6,,12,1,28iALS,LINCS06282017
B6,,156,0,28iALS,LINCS06282017
B6,,156,0,28iALS,LINCS06282017
B6,,12,1,28iALS,LINCS06282017
B6,,156,0,28iALS,LINCS06282017
B6,,156,0,28iALS,LINCS06282017
B6,,24,1,28iALS,LINCS06282017
